date,log_PIB,inflation,TIAO,taux_reel
2014-07-01,23.80779502170165,4.620121879833964,2.95,-1.6701218798339639
2014-10-01,23.81382889178571,4.049761999885201,2.95,-1.0997619998852004
2015-01-01,23.816335783458563,3.479402119936437,2.95,-0.5294021199364369
2015-04-01,23.822128022260493,2.909042239987673,2.95,0.04095776001232698
2015-07-01,23.824071931389117,2.3386823600389097,2.95,0.6113176399610905
2015-10-01,23.822146157989714,2.1878245159924763,2.95,0.7621754840075239
2016-01-01,23.816283654886504,2.0369666719460424,2.95,0.9130333280539578
2016-04-01,23.810412191130666,1.886108827899609,2.95,1.0638911721003912
2016-07-01,23.806860477843298,1.7352509838531753,2.95,1.2147490161468248
2016-10-01,23.805658784797853,1.6220247219284363,2.95,1.327975278071564
2017-01-01,23.80682100321641,1.5087984600036974,2.95,1.4412015399963027
2017-04-01,23.806080358312016,1.3955721980789586,2.95,1.5544278019210416
2017-07-01,23.80801241299539,1.2823459361542198,2.95,1.6676540638457804
2017-10-01,23.81255941895823,1.5217016562671333,2.95,1.428298343732867
2018-01-01,23.81964463393804,1.7610573763800468,2.95,1.1889426236199534
2018-04-01,23.823900370656347,2.0004130964929603,2.95,0.9495869035070399
2018-07-01,23.82764595530021,2.239768816605874,3.5,1.2602311833941262
2018-10-01,23.83089876893746,2.0742964732594906,3.5,1.4257035267405094
2019-01-01,23.83367494439175,1.9088241299131072,3.5,1.5911758700868928
2019-04-01,23.841842695541214,1.743351786566724,3.5,1.756648213433276
2019-07-01,23.845549438444202,1.577879443220341,3.5,1.922120556779659
2019-10-01,23.844776916916558,1.7802582321268172,3.5,1.7197417678731828
2020-01-01,23.839445530584634,1.9826370210332938,3.5,1.5173629789667062
2020-04-01,23.830440563903156,2.1850158099397703,3.5,1.3149841900602297
2020-07-01,23.826462165636887,2.3873945988462464,3.5,1.1126054011537536
2020-10-01,23.827474287652098,2.2123380999447213,3.5,1.2876619000552787
2021-01-01,23.833368126067448,2.0372816010431967,3.5,1.4627183989568033
2021-04-01,23.83766204351623,1.8622251021416716,3.5,1.6377748978583284
2021-07-01,23.843834217012553,1.6871686032401467,3.5,1.8128313967598533
2021-10-01,23.85178873788669,2.5980105632184785,3.75,1.1519894367815215
2022-01-01,23.861424647144602,3.5088525231968104,3.75,0.2411474768031896
2022-04-01,23.871932669474727,4.419694483175142,3.75,-0.6696944831751424
2022-07-01,23.880863270461827,5.330536443153474,4.0,-1.3305364431534743
2022-10-01,23.888288397736318,5.185481667354192,4.0,-1.1854816673541917
2023-01-01,23.894270830249425,5.040426891554909,4.5,-0.5404268915549091
2023-04-01,23.90271542870916,4.895372115755626,5.0,0.10462788424437441
2023-07-01,23.908305802074217,4.750317339956343,5.0,0.24968266004365702
2023-10-01,23.911089312664636,4.750317339956343,5.0,0.24968266004365702
